country,year,population
Australia,1995,18124234
Australia,1996,18339037
Australia,1997,18563442
Australia,1998,18794552
Australia,1999,19027438
Australia,2000,19259377
Australia,2001,19487257
Australia,2002,19714625
Australia,2003,19953121
Australia,2004,20218481
Australia,2005,20520736
Australia,2006,20865583
Australia,2007,21246274
Australia,2008,21645095
Australia,2009,22037143
Australia,2010,22404488
Australia,2011,22740536
Australia,2012,23050471
Australia,2013,23342553
Canada,1995,29294899
Canada,1996,29586368
Canada,1997,29866502
Canada,1998,30140562
Canada,1999,30415664
Canada,2000,30697425
Canada,2001,30986788
Canada,2002,31283746
Canada,2003,31591631
Canada,2004,31914080
Canada,2005,32253092
Canada,2006,32610984
Canada,2007,32985806
Canada,2008,33369898
Canada,2009,33752618
Canada,2010,34126240
Canada,2011,34487414
Canada,2012,34837978
Canada,2013,35181704
